class_id,rxcui,generic_name,rela,condition_name
D015812,3013,cyproheptadine,ci_with,"Glaucoma, Angle-Closure"
D007231,3013,cyproheptadine,ci_with,"Infant, Newborn"
D007774,3013,cyproheptadine,ci_with,Lactation
D010437,3013,cyproheptadine,ci_with,Peptic Ulcer
D011470,3013,cyproheptadine,ci_with,Prostatic Hyperplasia
D013224,3013,cyproheptadine,ci_with,Status Asthmaticus
D001748,3013,cyproheptadine,ci_with,Urinary Bladder Neck Obstruction
D001764,3013,cyproheptadine,may_treat,Blepharospasm
D003027,3013,cyproheptadine,may_treat,Cluster Headache
D020820,3013,cyproheptadine,may_treat,Dyskinesias
D009347,3013,cyproheptadine,may_treat,Nelson Syndrome
D020336,3013,cyproheptadine,may_treat,"Paraparesis, Spastic"
D011537,3013,cyproheptadine,may_treat,Pruritus
D012221,3013,cyproheptadine,may_treat,"Rhinitis, Allergic, Perennial"
D012559,3013,cyproheptadine,may_treat,Schizophrenia
D014581,3013,cyproheptadine,may_treat,Urticaria
D009290,2591497,daridorexant,ci_with,Narcolepsy
D007319,2591497,daridorexant,may_treat,Sleep Initiation and Maintenance Disorders
D003093,62174,deserpidine,ci_with,"Colitis, Ulcerative"
D003866,62174,deserpidine,ci_with,Depressive Disorder
D004342,62174,deserpidine,ci_with,Drug Hypersensitivity
D007022,62174,deserpidine,ci_with,Hypotension
D010437,62174,deserpidine,ci_with,Peptic Ulcer
D020820,62174,deserpidine,may_treat,Dyskinesias
D006973,62174,deserpidine,may_treat,Hypertension
D012559,62174,deserpidine,may_treat,Schizophrenia
D004342,3247,desipramine,ci_with,Drug Hypersensitivity
D009203,3247,desipramine,ci_with,Myocardial Infarction
D001289,3247,desipramine,may_treat,Attention Deficit Disorder with Hyperactivity
D003866,3247,desipramine,may_treat,Depressive Disorder
D010146,3247,desipramine,may_treat,Pain
D019966,3247,desipramine,may_treat,Substance-Related Disorders
D004342,3251,desmopressin,ci_with,Drug Hypersensitivity
D007010,3251,desmopressin,ci_with,Hyponatremia
D007674,3251,desmopressin,ci_with,Kidney Diseases
D014842,3251,desmopressin,ci_with,von Willebrand Diseases
D020790,3251,desmopressin,may_treat,"Diabetes Insipidus, Neurogenic"
D004775,3251,desmopressin,may_treat,Enuresis
D006470,3251,desmopressin,may_treat,Hemorrhage
D013921,3251,desmopressin,may_treat,Thrombocytopenia
D014842,3251,desmopressin,may_treat,von Willebrand Diseases
D018248,22656,desogestrel,ci_with,"Adenoma, Liver Cell"
D000368,22656,desogestrel,ci_with,Aged
D001943,22656,desogestrel,ci_with,Breast Neoplasms
D002561,22656,desogestrel,ci_with,Cerebrovascular Disorders
D003327,22656,desogestrel,ci_with,Coronary Disease
D003920,22656,desogestrel,ci_with,Diabetes Mellitus
D004342,22656,desogestrel,ci_with,Drug Hypersensitivity
D016889,22656,desogestrel,ci_with,Endometrial Neoplasms
