icd11_code,icd11_title,icd11_uri,browser_link,pool_tier
MB23.4,Compulsions,http://id.who.int/icd/entity/1682814866,https://icd.who.int/browse/2025-01/mms/en#1682814866,A
MB23.5,Coprolalia,http://id.who.int/icd/entity/1014102510,https://icd.who.int/browse/2025-01/mms/en#1014102510,A
MB23.6,Disorganised behaviour,http://id.who.int/icd/entity/1756562962,https://icd.who.int/browse/2025-01/mms/en#1756562962,A
MB23.7,Disheveled appearance,http://id.who.int/icd/entity/785834121,https://icd.who.int/browse/2025-01/mms/en#785834121,A
MB23.8,Disruptive behaviour,http://id.who.int/icd/entity/1421010536,https://icd.who.int/browse/2025-01/mms/en#1421010536,A
MB23.9,Echolalia,http://id.who.int/icd/entity/928818606,https://icd.who.int/browse/2025-01/mms/en#928818606,A
MB23.A,"Excessive crying of child, adolescent, or adult",http://id.who.int/icd/entity/18409657,https://icd.who.int/browse/2025-01/mms/en#18409657,A
MB23.C,Increased sociability,http://id.who.int/icd/entity/15373899,https://icd.who.int/browse/2025-01/mms/en#15373899,A
MB23.D,Mutism,http://id.who.int/icd/entity/1275861519,https://icd.who.int/browse/2025-01/mms/en#1275861519,A
MB23.E,Non-suicidal self-injury,http://id.who.int/icd/entity/1430296724,https://icd.who.int/browse/2025-01/mms/en#1430296724,A
MB23.F,Odd or peculiar appearance,http://id.who.int/icd/entity/471750381,https://icd.who.int/browse/2025-01/mms/en#471750381,A
MB23.G,Odd or peculiar behaviour,http://id.who.int/icd/entity/11067051,https://icd.who.int/browse/2025-01/mms/en#11067051,A
MB23.H,Panic attack,http://id.who.int/icd/entity/1707067746,https://icd.who.int/browse/2025-01/mms/en#1707067746,A
MB23.J,Poor personal hygiene,http://id.who.int/icd/entity/2035653497,https://icd.who.int/browse/2025-01/mms/en#2035653497,A
MB23.K,Poverty of speech,http://id.who.int/icd/entity/384775286,https://icd.who.int/browse/2025-01/mms/en#384775286,A
MB23.L,Pressured speech,http://id.who.int/icd/entity/1237884357,https://icd.who.int/browse/2025-01/mms/en#1237884357,A
MB23.M,Psychomotor agitation,http://id.who.int/icd/entity/1014897080,https://icd.who.int/browse/2025-01/mms/en#1014897080,A
MB23.N,Psychomotor retardation,http://id.who.int/icd/entity/2115393556,https://icd.who.int/browse/2025-01/mms/en#2115393556,A
MB23.Q,Social withdrawal,http://id.who.int/icd/entity/858782921,https://icd.who.int/browse/2025-01/mms/en#858782921,A
MB23.R,Suicide attempt,http://id.who.int/icd/entity/179322472,https://icd.who.int/browse/2025-01/mms/en#179322472,A
MB23.S,Suicidal behaviour,http://id.who.int/icd/entity/322139749,https://icd.who.int/browse/2025-01/mms/en#322139749,A
MB24.0,Ambivalence,http://id.who.int/icd/entity/51458534,https://icd.who.int/browse/2025-01/mms/en#51458534,A
MB24.1,Anger,http://id.who.int/icd/entity/1552396120,https://icd.who.int/browse/2025-01/mms/en#1552396120,A
MB24.2,Anhedonia,http://id.who.int/icd/entity/1206818866,https://icd.who.int/browse/2025-01/mms/en#1206818866,A
MB24.3,Anxiety,http://id.who.int/icd/entity/2027043655,https://icd.who.int/browse/2025-01/mms/en#2027043655,A
MB24.4,Apathy,http://id.who.int/icd/entity/209677240,https://icd.who.int/browse/2025-01/mms/en#209677240,A
MB24.5,Depressed mood,http://id.who.int/icd/entity/1093742821,https://icd.who.int/browse/2025-01/mms/en#1093742821,A
MB24.60,Constricted affect,http://id.who.int/icd/entity/533592874,https://icd.who.int/browse/2025-01/mms/en#533592874,A
MB24.61,Blunted affect,http://id.who.int/icd/entity/1243987221,https://icd.who.int/browse/2025-01/mms/en#1243987221,A
MB24.62,Flat affect,http://id.who.int/icd/entity/791849696,https://icd.who.int/browse/2025-01/mms/en#791849696,A
MB24.63,Labile affect,http://id.who.int/icd/entity/728417392,https://icd.who.int/browse/2025-01/mms/en#728417392,A
MB24.64,Inappropriate affect,http://id.who.int/icd/entity/180207614,https://icd.who.int/browse/2025-01/mms/en#180207614,A
MB24.7,Dysphoria,http://id.who.int/icd/entity/1979628747,https://icd.who.int/browse/2025-01/mms/en#1979628747,A
MB24.8,Elevated mood,http://id.who.int/icd/entity/1059562290,https://icd.who.int/browse/2025-01/mms/en#1059562290,A
MB24.9,Euphoria,http://id.who.int/icd/entity/451608306,https://icd.who.int/browse/2025-01/mms/en#451608306,A
