class_id,class_name,depth,rxcui,generic_name,tty,rela
D006970,Disorders of Excessive Somnolence,4,725,amphetamine,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,3288,dextroamphetamine,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,6816,methamphetamine,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,6901,methylphenidate,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,30125,modafinil,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,2387302,oxybate,IN,may_treat
D006970,Disorders of Excessive Somnolence,4,7966,pemoline,IN,may_treat
D000076064,Drug Misuse,2,272,activated charcoal,IN,may_treat
D000076064,Drug Misuse,2,2296,charcoal,IN,may_treat
D000076064,Drug Misuse,2,203223,digoxin antibodies Fab fragments,IN,may_treat
D000076064,Drug Misuse,2,3755,edetic acid,IN,may_treat
D000076064,Drug Misuse,2,4457,flumazenil,IN,may_treat
D000076064,Drug Misuse,2,5975,ipecac,IN,may_treat
D000076064,Drug Misuse,2,52356,magnesium citrate,IN,may_treat
D000076064,Drug Misuse,2,31479,nalmefene,IN,may_treat
D000076064,Drug Misuse,2,7243,naltrexone,IN,may_treat
D000076064,Drug Misuse,2,34345,pralidoxime,IN,may_treat
D000076064,Drug Misuse,2,8825,protamine sulfate (USP),IN,may_treat
D000076064,Drug Misuse,2,8826,protamines,IN,may_treat
D000076064,Drug Misuse,2,9100,racemethionine,IN,may_treat
D000076064,Drug Misuse,2,36676,sodium bicarbonate,IN,may_treat
D000076064,Drug Misuse,2,11017,uridine,IN,may_treat
D000076064,Drug Misuse,2,1665222,uridine triacetate,IN,may_treat
D062787,Drug Overdose,4,272,activated charcoal,IN,may_treat
D062787,Drug Overdose,4,2296,charcoal,IN,may_treat
D062787,Drug Overdose,4,203223,digoxin antibodies Fab fragments,IN,may_treat
D062787,Drug Overdose,4,3755,edetic acid,IN,may_treat
D062787,Drug Overdose,4,4457,flumazenil,IN,may_treat
D062787,Drug Overdose,4,5975,ipecac,IN,may_treat
D062787,Drug Overdose,4,52356,magnesium citrate,IN,may_treat
D062787,Drug Overdose,4,31479,nalmefene,IN,may_treat
D062787,Drug Overdose,4,7243,naltrexone,IN,may_treat
D062787,Drug Overdose,4,34345,pralidoxime,IN,may_treat
D062787,Drug Overdose,4,8825,protamine sulfate (USP),IN,may_treat
D062787,Drug Overdose,4,8826,protamines,IN,may_treat
D062787,Drug Overdose,4,9100,racemethionine,IN,may_treat
D062787,Drug Overdose,4,36676,sodium bicarbonate,IN,may_treat
D062787,Drug Overdose,4,11017,uridine,IN,may_treat
D062787,Drug Overdose,4,1665222,uridine triacetate,IN,may_treat
