disorder_icd11_code,disorder_title,symptom_icd11_code,matched_form,section,cddr_page
Manic episode,Manic episode,MB24.C,irritability,Essential (required) features,217
Manic episode,Manic episode,MB25.1,flight of ideas,Essential (required) features,217
Manic episode,Manic episode,MB26.05,grandiose delusion,Essential (required) features,217
Manic episode,Manic episode,MB26.07,persecutory delusion,Additional clinical features,217
Manic episode,Manic episode,MB26.2,grandiosity,Essential (required) features,217
Manic episode,Manic episode,MG41,insomnia,Essential (required) features,217
Mixed episode,Mixed episode,MB22.3,hopelessness,Essential (required) features,220
Mixed episode,Mixed episode,MB24.62,flat affect,Essential (required) features,220
Mixed episode,Mixed episode,MB24.7,dysphoria,Essential (required) features,220
Mixed episode,Mixed episode,MB24.9,euphoria,Essential (required) features,220
Mixed episode,Mixed episode,MB24.C,irritability,Essential (required) features,220
Mixed episode,Mixed episode,MB26.A,suicidal ideation,Essential (required) features,220
"QE51.12            partner violence, sexual","QE51.12            partner violence, sexual",MB24.3,anxiety,Additional clinical features,716
"QE51.12            partner violence, sexual","QE51.12            partner violence, sexual",MB24.A,fear,Additional clinical features,716
QE51.13         neglect,QE51.13         neglect,MB24.3,anxiety,Additional clinical features,719
QE51.13         neglect,QE51.13         neglect,MB24.A,fear,Additional clinical features,719
QE52.0       Caregiver–child relationship problem,QE52.0       Caregiver–child relationship problem,MB24.1,anger,Essential (required) features,721
QE52.0       Caregiver–child relationship problem,QE52.0       Caregiver–child relationship problem,MB24.4,apathy,Essential (required) features,721
QE82.0       as a child,QE82.0       as a child,MB24.3,anxiety,Additional clinical features,723
QE82.0       as a child,QE82.0       as a child,MB24.A,fear,Additional clinical features,723
QE82.0       as a child,QE82.0       as a child,MB4D,headache,Additional clinical features,723
QE82.0       as a child,QE82.0       as a child,MG27,haemorrhage,Additional clinical features,723
QE82.1       as child,QE82.1       as child,MB24.3,anxiety,Additional clinical features,725
QE82.1       as child,QE82.1       as child,MB24.A,fear,Additional clinical features,725
QE82.2       psychological abuse as child,QE82.2       psychological abuse as child,MB24.3,anxiety,Additional clinical features,727
QE82.2       psychological abuse as child,QE82.2       psychological abuse as child,MB24.A,fear,Additional clinical features,727
QE82.3,QE82.3,MB24.3,anxiety,Additional clinical features,729
QE82.3,QE82.3,MB24.A,fear,Essential (required) features,729
