rxcui,generic_name,drug_class,atc_codes
2644503,somatrogon,Other,H01AC
61148,somatropin,Other,H01AC
1547099,suvorexant,Sedative,N05CJ
10318,tacrine,Anti-dementia,N06DA
358263,tadalafil,Other,C02KX; G04BE; G04CB
1490468,tasimelteon,Sedative,N05CH
10355,temazepam,Sedative,N05CD
10390,tetrabenazine,Other,N07XX
37985,tetrazepam,Anxiolytic,
10437,theobromine,Other,C03BD; R03DA
10454,thiamine,Other,A11AA; A11DA; A11EA; A11EB; A11EC; A11EX; A11JA; A11JC; B03AE
10464,thiamylal,Sedative,
38077,thiobutabarbital,Sedative,
10502,thioridazine,Antipsychotic,N05AC
10510,thiothixene,Antipsychotic,N05AF
31914,tiagabine,Mood Stabilizer,N03AG
38260,tibolone,Other,G03CX
2740012,tividenofusp alfa,Other,
314875,"tocopheryl acid succinate,D-alpha",Other,
38365,tofisopam,Anxiolytic,N05BA
38404,topiramate,Mood Stabilizer,A08AA; N03AX
10689,tramadol,Other,N02AJ; N02AX
10734,tranylcypromine,Antidepressant,N06AF
10737,trazodone,Antidepressant,N06AX
10767,triazolam,Sedative,N05CD
1314420,tricaprylin,Other,
10800,trifluoperazine,Antipsychotic,N05AB
10804,trifluperidol,Antipsychotic,N05AD
10805,triflupromazine,Antipsychotic,N05AA
10825,trimeprazine,Other,R06AD
10834,trimipramine,Antidepressant,N06AA
2632852,trofinetide,Other,N07XX
10898,tryptophan,Antidepressant,B05BA; N05CX; N06AX
21406,ubidecarenone,Other,A11JC; C01EB; C01EX; C10AA
11017,uridine,Other,
1665222,uridine triacetate,Other,A16AX
253206,valerian root extract,Sedative,N05CM
306674,vardenafil,Other,G04BE
39786,venlafaxine,Antidepressant,N06AX
1424884,vilanterol,Other,R03AK; R03AL
1086769,vilazodone,Antidepressant,N06AX
11248,vitamin B12,Other,A11AA; A11EA; A11EB; A11EC; A11EX; A11JA; A11JB; A11JC; B03AE; B03BA
11256,vitamin E,Other,A11AA; A11HA; A11JA; A11JB; A11JC; B03AE; C01EX; D02AX
1455099,vortioxetine,Antidepressant,N06AX
11289,warfarin,Other,B01AA
2694828,xanomeline,Antipsychotic,N05AX
220982,yohimbine,Other,G04BE
74667,zaleplon,Sedative,N05CF
68503,ziconotide,Other,N02BG
115698,ziprasidone,Antipsychotic,N05AE
39993,zolpidem,Sedative,N05CF
2669905,zuranolone,Antidepressant,N06AX
